Sunday, October 4, 2015 5:15:57 PM,google.com,80,Port Open,Sunday, October 4, 2015 5:15:57 PM,yahoo.com,80,Port Open
Thursday, October 22, 2015 8:03:39 AM,google.com,80,Port Open,Thursday, October 22, 2015 8:03:39 AM,yahoo.com,80,Port Open
Thursday, October 22, 2015 8:04:41 AM,google.com,80,Port Open,Thursday, October 22, 2015 8:04:41 AM,yahoo.com,80,Port Open
Thursday, October 22, 2015 8:13:15 AM,google.com,80,Port Open,Thursday, October 22, 2015 8:13:15 AM,yahoo.com,80,Port Open
Thursday, October 22, 2015 8:24:07 AM,google.com,80,Port Open,Thursday, October 22, 2015 8:24:07 AM,yahoo.com,8080,Port Open
Friday, March 4, 2016 5:31:06 PM,google.com,80,Port Open,Friday, March 4, 2016 5:31:06 PM,yahoo.com,8080,Port Open
Friday, March 4, 2016 5:44:31 PM,google.com,80,Port Open,Friday, March 4, 2016 5:44:31 PM,yahoo.com,8080,Port Open
Friday, March 4, 2016 5:44:58 PM,google.com,80,Port Open,Friday, March 4, 2016 5:44:58 PM,yahoo.com,8080,Port Open
Friday, March 4, 2016 5:45:23 PM,google.com,80,Port Open,Friday, March 4, 2016 5:45:23 PM,yahoo.com,8080,Port Open
Friday, March 4, 2016 7:50:21 PM,google.com,80,Port Open,Friday, March 4, 2016 7:50:21 PM,yahoo.com,8080,Port Open
Friday, March 4, 2016 7:52:23 PM,google.com,80,Port Open,Friday, March 4, 2016 7:52:23 PM,yahoo.com,8080,Port Open
Friday, March 4, 2016 7:55:07 PM,google.com,80,Port Open,Friday, March 4, 2016 7:55:07 PM,yahoo.com,8080,Port Open
Friday, March 4, 2016 8:00:40 PM,google.com,80,Port Open,Friday, March 4, 2016 8:00:40 PM,yahoo.com,8080,Port Open
Friday, March 4, 2016 8:45:21 PM,google.com,80,Port Open,Friday, March 4, 2016 8:45:21 PM,yahoo.com,8080,Port Open
Friday, March 4, 2016 8:46:12 PM,google.com,80,Port Open,Friday, March 4, 2016 8:46:12 PM,yahoo.com,8080,Port Open
