 ~~~~~~~~ ROUTERS ~~~~~~~~~
C1000-a01-asdf-090-Rm100,10.0.0.14
C1000-a01-asdf-A51-0710-Rm100,10.0.0.15

 ~~~~~~~ CORE NODES ~~~~~~~~
C6500-a01-asdf-0700-Rm100,10.0.0.12
C6500-a01-asdf-0700-Rm100,10.0.0.13

 ~~~~ DISTRIBUTION NODES ~~~~
C4500-a01-asdf-0020-1FL-Rm100,10.0.0.8
C4500-a01-asdf-0020-2FL-Rm200_C4500,10.0.0.9

 ~~~~~~ ACCESS NODES ~~~~~~ 
C9300-a01-asdf-0001-1FL-Rm100,10.0.0.5
C3850-a01-asdf-0001-2FL-Rm200,10.0.0.6
C3750-a01-asdf-0051-BSMT-Rm2,10.0.0.7

 ~~~~~~~~ SERVERS ~~~~~~~~~
Cisco ISE,10.0.1.2
Cisco ACS,10.0.1.3
InfoBlox,10.0.1.4
